,Team,Salary,Player,Position,Season,Playoffs,Team Winning Percentage
5474,New York Knicks,6191000.0,Lance Thomas, SF,2017,Did not make the Playoffs,0.37799999999999995
5475,Los Angeles Lakers,6191000.0,Tarik Black, C,2017,Did not make the Playoffs,0.317
5476,Washington Wizards,6088993.0,Andrew Nicholson, PF,2017,Conf Semifinals,0.598
5477,Toronto Raptors,6050000.0,Patrick Patterson, PF,2017,Conf Semifinals,0.622
5478,Minnesota Timberwolves,6006600.0,Andrew Wiggins, SF,2017,Did not make the Playoffs,0.37799999999999995
5479,Charlotte Hornets,6000000.0,Ramon Sessions, G,2017,Did not make the Playoffs,0.439
5480,Houston Rockets,6000000.0,Patrick Beverley, PG,2017,Conf Semifinals,0.6709999999999999
5481,Miami Heat,6000000.0,Wayne Ellington, SG,2017,Did not make the Playoffs,0.5
5482,Detroit Pistons,6000000.0,Ish Smith, PG,2017,Did not make the Playoffs,0.451
5483,Oklahoma City Thunder,5994764.0,Alex Abrines, SG,2017,Conf First Round,0.573
5484,Minnesota Timberwolves,5960160.0,Karl-Anthony Towns, C,2017,Did not make the Playoffs,0.37799999999999995
5485,Philadelphia 76ers,5903160.0,Ben Simmons, PG,2017,Did not make the Playoffs,0.341
5486,Washington Wizards,5893981.0,Otto Porter Jr., SF,2017,Conf Semifinals,0.598
5487,Golden State Warriors,5782450.0,Shaun Livingston, PG,2017,Champion,0.8170000000000001
5488,Chicago Bulls,5782450.0,Nikola Mirotic, PF,2017,Conf First Round,0.5
5489,Memphis Grizzlies,5709880.0,Brandan Wright, F,2017,Conf First Round,0.524
5490,Miami Heat,5628000.0,Tyler Johnson, SG,2017,Did not make the Playoffs,0.5
5491,Toronto Raptors,5628000.0,Jared Sullinger, C,2017,Conf Semifinals,0.622
5492,Los Angeles Clippers,5628000.0,Wesley Johnson, SF,2017,Conf First Round,0.622
5493,Memphis Grizzlies,5505618.0,Tony Allen, SG,2017,Conf First Round,0.524
5494,Brooklyn Nets,5500000.0,Luis Scola, F,2017,Did not make the Playoffs,0.244
5495,Los Angeles Lakers,5443918.0,Nick Young, G,2017,Did not make the Playoffs,0.317
5496,Milwaukee Bucks,5374320.0,Jabari Parker, PF,2017,Conf First Round,0.512
5497,Los Angeles Lakers,5332800.0,D'Angelo Russell, PG,2017,Did not make the Playoffs,0.317
5498,Charlotte Hornets,5318313.0,Cody Zeller, C,2017,Did not make the Playoffs,0.439
5499,Toronto Raptors,5300000.0,PJ Tucker, SF,2017,Conf Semifinals,0.622
5500,Los Angeles Lakers,5281680.0,Brandon Ingram, SF,2017,Did not make the Playoffs,0.317
5501,Cleveland Cavaliers,5239437.0,Kyle Korver, SG,2017,Finals,0.622
5502,Sacramento Kings,5229454.0,Darren Collison, PG,2017,Did not make the Playoffs,0.39
5503,Sacramento Kings,5200000.0,Langston Galloway, SG,2017,Did not make the Playoffs,0.39
5504,Washington Wizards,5000000.0,Jason Smith, PF,2017,Conf Semifinals,0.598
5505,Washington Wizards,5000000.0,Brandon Jennings, G,2017,Conf Semifinals,0.598
5506,Orlando Magic,5000000.0,C.J. Watson, PG,2017,Did not make the Playoffs,0.354
5507,Charlotte Hornets,5000000.0,Roy Hibbert, C,2017,Did not make the Playoffs,0.439
5508,Oklahoma City Thunder,4837500.0,Kyle Singler, F,2017,Conf First Round,0.573
5509,Cleveland Cavaliers,4837500.0,Mike Dunleavy, SG,2017,Finals,0.622
5510,Philadelphia 76ers,4826160.0,Joel Embiid, C,2017,Did not make the Playoffs,0.341
5511,Phoenix Suns,4823621.0,Alex Len, C,2017,Did not make the Playoffs,0.293
5512,Philadelphia 76ers,4788840.0,Jahlil Okafor, C,2017,Did not make the Playoffs,0.341
5513,Boston Celtics,4743000.0,Jaylen Brown, SG,2017,Conf Finals,0.6459999999999999
5514,New Orleans Pelicans,4638203.0,Alexis Ajinca, C,2017,Did not make the Playoffs,0.415
5515,Detroit Pistons,4625000.0,Marcus Morris, PF,2017,Did not make the Playoffs,0.451
5516,Indiana Pacers,4583450.0,CJ Miles, SF,2017,Conf First Round,0.512
5517,Denver Nuggets,4540525.0,Jameer Nelson, G,2017,Did not make the Playoffs,0.488
5518,Philadelphia 76ers,4384490.0,Nerlens Noel, PF,2017,Did not make the Playoffs,0.341
5519,Orlando Magic,4351320.0,Aaron Gordon, PF,2017,Did not make the Playoffs,0.354
5520,Brooklyn Nets,4347826.0,Greivis Vasquez, PG,2017,Did not make the Playoffs,0.244
5521,New York Knicks,4317720.0,Kristaps Porzingis, PF,2017,Did not make the Playoffs,0.37799999999999995
5522,Phoenix Suns,4276320.0,Dragan Bender, PF,2017,Did not make the Playoffs,0.293
5523,Memphis Grizzlies,4264057.0,Vince Carter, SF,2017,Conf First Round,0.524
5524,Dallas Mavericks,4227996.0,Devin Harris, PG,2017,Did not make the Playoffs,0.402
5525,Dallas Mavericks,4096950.0,J.J. Barea, PG,2017,Did not make the Playoffs,0.402
5526,Sacramento Kings,4008882.0,Ben McLemore, SG,2017,Did not make the Playoffs,0.39
5527,Indiana Pacers,4000000.0,Lavoy Allen, F,2017,Conf First Round,0.512
5528,Miami Heat,4000000.0,Udonis Haslem, PF,2017,Did not make the Playoffs,0.5
5529,Atlanta Hawks,4000000.0,Kris Humphries, PF,2017,Conf First Round,0.524
5530,Phoenix Suns,4000000.0,Leandro Barbosa, G,2017,Did not make the Playoffs,0.293
5531,Minnesota Timberwolves,4000000.0,Lance Stephenson, SG,2017,Did not make the Playoffs,0.37799999999999995
5532,Utah Jazz,3940320.0,Dante Exum, PG,2017,Conf Semifinals,0.622
5533,New York Knicks,3918750.0,Kyle O'Quinn, C,2017,Did not make the Playoffs,0.37799999999999995
5534,Orlando Magic,3909840.0,Mario Hezonja, SF,2017,Did not make the Playoffs,0.354
5535,Minnesota Timberwolves,3872520.0,Kris Dunn, PG,2017,Did not make the Playoffs,0.37799999999999995
5536,Atlanta Hawks,3850000.0,Thabo Sefolosha, SF,2017,Conf First Round,0.524
5537,Minnesota Timberwolves,3800000.0,Nemanja Bjelica, PF,2017,Did not make the Playoffs,0.37799999999999995
5538,Oklahoma City Thunder,3750000.0,Nick Collison, F,2017,Conf First Round,0.573
5539,Washington Wizards,3730653.0,Bojan Bogdanovic, SF,2017,Conf Semifinals,0.598
5540,Detroit Pistons,3678319.0,Kentavious Caldwell-Pope, SG,2017,Did not make the Playoffs,0.451
5541,San Antonio Spurs,3617978.0,Quincy Pondexter, SF,2017,Conf Finals,0.7440000000000001
5542,San Antonio Spurs,3578948.0,Patty Mills, PG,2017,Conf Finals,0.7440000000000001
5543,Boston Celtics,3578880.0,Marcus Smart, PG,2017,Conf Finals,0.6459999999999999
5544,Sacramento Kings,3551160.0,Willie Cauley-Stein, C,2017,Did not make the Playoffs,0.39
5545,Washington Wizards,3547000.0,Drew Gooden, PF,2017,Conf Semifinals,0.598
5546,Denver Nuggets,3533333.0,Will Barton, SG,2017,Did not make the Playoffs,0.488
5547,Los Angeles Clippers,3527920.0,Paul Pierce, SF,2017,Conf First Round,0.622
5548,Sacramento Kings,3517200.0,Buddy Hield, SG,2017,Did not make the Playoffs,0.39
5549,Minnesota Timberwolves,3500000.0,Brandon Rush, SG,2017,Did not make the Playoffs,0.37799999999999995
5550,Denver Nuggets,3500000.0,Mike Miller, SG,2017,Did not make the Playoffs,0.488
5551,Oklahoma City Thunder,3488000.0,Anthony Morrow, SG,2017,Conf First Round,0.573
5552,Washington Wizards,3386598.0,Trey Burke, PG,2017,Conf Semifinals,0.598
5553,Atlanta Hawks,3333334.0,Mike Scott, PF,2017,Conf First Round,0.524
5554,Brooklyn Nets,3333333.0,KJ McDaniels, F,2017,Did not make the Playoffs,0.244
5555,Memphis Grizzlies,3332940.0,Troy Daniels, SG,2017,Conf First Round,0.524
5556,Los Angeles Lakers,3267120.0,Julius Randle, PF,2017,Did not make the Playoffs,0.317
5557,Denver Nuggets,3241800.0,Emmanuel Mudiay, PG,2017,Did not make the Playoffs,0.488
5558,Portland Trail Blazers,3219579.0,CJ McCollum, SG,2017,Conf First Round,0.5
5559,Denver Nuggets,3210840.0,Jamal Murray, PG,2017,Did not make the Playoffs,0.488
5560,Chicago Bulls,3183526.0,Michael Carter-Williams, PG,2017,Conf First Round,0.5
5561,Oklahoma City Thunder,3140517.0,Steven Adams, C,2017,Conf First Round,0.573
5562,Boston Celtics,3094014.0,Kelly Olynyk, PF,2017,Conf Finals,0.6459999999999999
5563,Minnesota Timberwolves,3046299.0,Shabazz Muhammad, F,2017,Did not make the Playoffs,0.37799999999999995
5564,Brooklyn Nets,3000000.0,Justin Hamilton, C,2017,Did not make the Playoffs,0.244
5565,Philadelphia 76ers,3000000.0,Tibor Pleiss, C,2017,Did not make the Playoffs,0.341
5566,Milwaukee Bucks,2995421.0,Giannis Antetokounmpo, PF,2017,Conf First Round,0.512
5567,Philadelphia 76ers,2993040.0,Nik Stauskas, SG,2017,Did not make the Playoffs,0.341
5568,New Orleans Pelicans,2978250.0,Dante Cunningham, SF,2017,Did not make the Playoffs,0.415
5569,Detroit Pistons,2969880.0,Stanley Johnson, SF,2017,Did not make the Playoffs,0.451
5570,Phoenix Suns,2941440.0,Marquese Chriss, PF,2017,Did not make the Playoffs,0.293
5571,Miami Heat,2898000.0,Dion Waiters, SG,2017,Did not make the Playoffs,0.5
5572,New York Knicks,2898000.0,Mindaugas Kuzminskas, F,2017,Did not make the Playoffs,0.37799999999999995
5573,Dallas Mavericks,2898000.0,Seth Curry, SG,2017,Did not make the Playoffs,0.402
5574,San Antonio Spurs,2898000.0,Dewayne Dedmon, C,2017,Conf Finals,0.7440000000000001
5575,Washington Wizards,2870813.0,Tomas Satoransky, SG,2017,Conf Semifinals,0.598
5576,Portland Trail Blazers,2751360.0,Noah Vonleh, PF,2017,Conf First Round,0.5
5577,Charlotte Hornets,2730000.0,Frank Kaminsky, PF,2017,Did not make the Playoffs,0.439
5578,Atlanta Hawks,2708582.0,Dennis Schroder, PG,2017,Conf First Round,0.524
5579,Toronto Raptors,2703960.0,Jakob Poeltl, C,2017,Conf Semifinals,0.622
5580,Indiana Pacers,2700000.0,Aaron Brooks, G,2017,Conf First Round,0.512
5581,Orlando Magic,2613600.0,Elfrid Payton, PG,2017,Did not make the Playoffs,0.354
5582,Miami Heat,2593440.0,Justise Winslow, SF,2017,Did not make the Playoffs,0.5
5583,Milwaukee Bucks,2568600.0,Thon Maker, PF,2017,Conf First Round,0.512
5584,Brooklyn Nets,2500000.0,Randy Foye, SG,2017,Did not make the Playoffs,0.244
5585,Atlanta Hawks,2500000.0,Malcolm Delaney, G,2017,Conf First Round,0.524
5586,Oklahoma City Thunder,2483040.0,Doug McDermott, SF,2017,Conf First Round,0.573
5587,Indiana Pacers,2463840.0,Myles Turner, C,2017,Conf First Round,0.512
5588,Oklahoma City Thunder,2440200.0,Domantas Sabonis, PF,2017,Conf First Round,0.573
5589,Utah Jazz,2433334.0,Shelvin Mack, PG,2017,Conf Semifinals,0.622
5590,Milwaukee Bucks,2368327.0,Tony Snell, SG,2017,Conf First Round,0.512
5591,Minnesota Timberwolves,2348783.0,Gorgui Dieng, C,2017,Did not make the Playoffs,0.37799999999999995
5592,Utah Jazz,2340600.0,Trey Lyles, PF,2017,Conf Semifinals,0.622
5593,Portland Trail Blazers,2328530.0,Mason Plumlee, PF,2017,Conf First Round,0.5
5594,Philadelphia 76ers,2318280.0,Dario Saric, PF,2017,Did not make the Playoffs,0.341
5595,Atlanta Hawks,2318280.0,Taurean Prince, SF,2017,Conf First Round,0.524
5596,Atlanta Hawks,2281605.0,Tim Hardaway Jr., G,2017,Conf First Round,0.524
5597,Detroit Pistons,2255644.0,Reggie Bullock, SG,2017,Did not make the Playoffs,0.451
5598,Minnesota Timberwolves,2240880.0,Zach LaVine, PG,2017,Did not make the Playoffs,0.37799999999999995
5599,Phoenix Suns,2223600.0,Devin Booker, SG,2017,Did not make the Playoffs,0.293
5600,Los Angeles Clippers,2203000.0,Luc Mbah a Moute, PF,2017,Conf First Round,0.622
5601,Sacramento Kings,2202240.0,Georgios Papagiannis, C,2017,Did not make the Playoffs,0.39
5602,Denver Nuggets,2194500.0,Mo Williams, PG,2017,Did not make the Playoffs,0.488
5603,Oklahoma City Thunder,2183072.0,Andre Roberson, SG,2017,Conf First Round,0.573
5604,Utah Jazz,2150000.0,Joe Ingles, SF,2017,Conf Semifinals,0.622
5605,Phoenix Suns,2128920.0,TJ Warren, SF,2017,Did not make the Playoffs,0.293
5606,Utah Jazz,2121288.0,Rudy Gobert, C,2017,Conf Semifinals,0.622
5607,Oklahoma City Thunder,2112480.0,Cameron Payne, PG,2017,Conf First Round,0.573
5608,Chicago Bulls,2092200.0,Denzel Valentine, SG,2017,Conf First Round,0.5
5609,New Orleans Pelicans,2090000.0,Tim Frazier, PG,2017,Did not make the Playoffs,0.415
5610,Milwaukee Bucks,2048257.0,Kendall Marshall, PG,2017,Conf First Round,0.512
5611,Minnesota Timberwolves,2022240.0,Adreian Payne, PF,2017,Did not make the Playoffs,0.37799999999999995
5612,Washington Wizards,2006640.0,Kelly Oubre Jr., SF,2017,Conf Semifinals,0.598
5613,Denver Nuggets,1987440.0,Juan Hernangomez, PF,2017,Did not make the Playoffs,0.488
5614,Toronto Raptors,1921320.0,Lucas Nogueira, C,2017,Conf Semifinals,0.622
5615,Portland Trail Blazers,1921320.0,Jusuf Nurkic, C,2017,Conf First Round,0.5
5616,Boston Celtics,1906440.0,Terry Rozier, PG,2017,Conf Finals,0.6459999999999999
5617,Boston Celtics,1825200.0,James Young, G,2017,Conf Finals,0.6459999999999999
5618,Milwaukee Bucks,1811040.0,Rashad Vaughn, G,2017,Conf First Round,0.512
5619,Indiana Pacers,1800000.0,Kevin Seraphin, C,2017,Conf First Round,0.512
5620,Memphis Grizzlies,1793760.0,Wade Baldwin IV, PG,2017,Conf First Round,0.524
5621,Brooklyn Nets,1790092.0,Quincy Acy, F,2017,Did not make the Playoffs,0.244
5622,Los Angeles Lakers,1733880.0,Tyler Ennis, G,2017,Did not make the Playoffs,0.317
5623,Houston Rockets,1720560.0,Sam Dekker, SF,2017,Conf Semifinals,0.6709999999999999
5624,Oklahoma City Thunder,1709719.0,Joffrey Lauvergne, F,2017,Conf First Round,0.573
5625,Detroit Pistons,1704120.0,Henry Ellenson, PF,2017,Did not make the Playoffs,0.451
5626,Denver Nuggets,1655880.0,Gary Harris, SG,2017,Did not make the Playoffs,0.488
5627,Chicago Bulls,1643040.0,Jerian Grant, PG,2017,Conf First Round,0.5
5628,Denver Nuggets,1627320.0,Malik Beasley, SG,2017,Did not make the Playoffs,0.488
5629,Toronto Raptors,1589640.0,Bruno Caboclo, F,2017,Conf Semifinals,0.622
5630,Toronto Raptors,1577280.0,Delon Wright, PG,2017,Conf Semifinals,0.622
5631,Brooklyn Nets,1562280.0,Caris LeVert, SG,2017,Did not make the Playoffs,0.244
5632,San Antonio Spurs,1551659.0,David Lee, PF,2017,Conf Finals,0.7440000000000001
5633,Sacramento Kings,1551659.0,Caron Butler, SF,2017,Did not make the Playoffs,0.39
5634,Oklahoma City Thunder,1526040.0,Mitch McGary, PF,2017,Conf First Round,0.573
5635,Philadelphia 76ers,1514160.0,Justin Anderson, SG,2017,Did not make the Playoffs,0.341
5636,Los Angeles Lakers,1500000.0,Marcelo Huertas, PG,2017,Did not make the Playoffs,0.317
5637,Atlanta Hawks,1499760.0,DeAndre' Bembry, SF,2017,Conf First Round,0.524
5638,Memphis Grizzlies,1465080.0,Jordan Adams, SG,2017,Conf First Round,0.524
5639,Chicago Bulls,1453680.0,Bobby Portis, PF,2017,Conf First Round,0.5
5640,Boston Celtics,1450000.0,Demetrius Jackson, PG,2017,Conf Finals,0.6459999999999999
5641,Sacramento Kings,1439800.0,Malachi Richardson, SG,2017,Did not make the Playoffs,0.39
5642,Utah Jazz,1406520.0,Rodney Hood, SG,2017,Conf Semifinals,0.622
5643,Los Angeles Clippers,1403611.0,Marreese Speights, F,2017,Conf First Round,0.622
5644,Golden State Warriors,1403611.0,JaVale McGee, C,2017,Champion,0.8170000000000001
5645,Milwaukee Bucks,1403611.0,Michael Beasley, SF,2017,Conf First Round,0.512
5646,Brooklyn Nets,1395600.0,Rondae Hollis-Jefferson, SF,2017,Did not make the Playoffs,0.244
5647,Memphis Grizzlies,1369299.0,Deyonta Davis, C,2017,Conf First Round,0.524
5648,Denver Nuggets,1358500.0,Nikola Jokic, C,2017,Did not make the Playoffs,0.488
5649,Portland Trail Blazers,1350120.0,Shabazz Napier, PG,2017,Conf First Round,0.5
5650,New York Knicks,1350000.0,Willy Hernangomez, C,2017,Did not make the Playoffs,0.37799999999999995
5651,New York Knicks,1350000.0,Guillermo Hernangomez, C,2017,Did not make the Playoffs,0.37799999999999995
5652,Minnesota Timberwolves,1339680.0,Tyus Jones, PG,2017,Did not make the Playoffs,0.37799999999999995
5653,Philadelphia 76ers,1333240.0,Sasha Kaun, C,2017,Did not make the Playoffs,0.341
5654,Philadelphia 76ers,1326960.0,Timothe Luwawu-Cabarrot, SG,2017,Did not make the Playoffs,0.341
5655,Houston Rockets,1296240.0,Clint Capela, C,2017,Conf Semifinals,0.6709999999999999
5656,Memphis Grizzlies,1286160.0,Jarell Martin, PF,2017,Conf First Round,0.524
5657,Los Angeles Clippers,1273920.0,Brice Johnson, PF,2017,Conf First Round,0.622
5658,Miami Heat,1227286.0,Luke Babbitt, F,2017,Did not make the Playoffs,0.5
5659,Atlanta Hawks,1227286.0,Jeremy Evans, F,2017,Conf First Round,0.524
5660,Boston Celtics,1223653.0,Jordan Mickey, F,2017,Conf Finals,0.6459999999999999
5661,Orlando Magic,1209600.0,CJ Wilcox, G,2017,Did not make the Playoffs,0.354
5662,Los Angeles Lakers,1207680.0,Larry Nance Jr., PF,2017,Did not make the Playoffs,0.317
5663,Toronto Raptors,1196040.0,Pascal Siakam, PF,2017,Conf Semifinals,0.622
5664,San Antonio Spurs,1192080.0,Kyle Anderson, SF,2017,Conf Finals,0.7440000000000001
5665,Oklahoma City Thunder,1191480.0,Josh Huestis, F,2017,Conf First Round,0.573
5666,Washington Wizards,1191480.0,Chris McCullough, F,2017,Conf Semifinals,0.598
5667,San Antonio Spurs,1188840.0,Livio Jean-Charles, SF,2017,Conf Finals,0.7440000000000001
5668,Sacramento Kings,1188840.0,Skal Labissiere, PF,2017,Did not make the Playoffs,0.39
5669,Golden State Warriors,1182840.0,Kevon Looney, SF,2017,Champion,0.8170000000000001
5670,San Antonio Spurs,1180080.0,Dejounte Murray, PG,2017,Conf Finals,0.7440000000000001
5671,Golden State Warriors,1171560.0,Damian Jones, C,2017,Champion,0.8170000000000001
5672,Brooklyn Nets,1074145.0,Isaiah Whitehead, G,2017,Did not make the Playoffs,0.244
5673,Indiana Pacers,1052342.0,Joe Young, G,2017,Conf First Round,0.512
5674,Indiana Pacers,1052342.0,Rakeem Christmas, PF,2017,Conf First Round,0.512
5675,Memphis Grizzlies,1050961.0,Tony Wroten, SG,2017,Conf First Round,0.524
5676,Phoenix Suns,1050961.0,John Jenkins, G,2017,Did not make the Playoffs,0.293
5677,Houston Rockets,1050961.0,Chris Johnson, SG,2017,Conf Semifinals,0.6709999999999999
5678,Indiana Pacers,1050500.0,Glenn Robinson III, SG,2017,Conf First Round,0.512
5679,Houston Rockets,1045000.0,Montrezl Harrell, PF,2017,Conf Semifinals,0.6709999999999999
5680,Los Angeles Lakers,1034956.0,Ivica Zubac, C,2017,Did not make the Playoffs,0.317
5681,Philadelphia 76ers,1025831.0,Richaun Holmes, PF,2017,Did not make the Playoffs,0.341
5682,Dallas Mavericks,1015696.0,DeAndre Liggins, G,2017,Did not make the Playoffs,0.402
5683,Toronto Raptors,1015696.0,Lorenzo Brown, PG,2017,Conf Semifinals,0.622
5684,Atlanta Hawks,1015696.0,Mike Muscala, PF,2017,Conf First Round,0.524
5685,Chicago Bulls,1015696.0,Isaiah Canaan, PG,2017,Conf First Round,0.5
5686,Brooklyn Nets,1015696.0,Anthony Bennett, PF,2017,Did not make the Playoffs,0.244
5687,Miami Heat,1015696.0,Willie Reed, C,2017,Did not make the Playoffs,0.5
5688,New York Knicks,1015696.0,Justin Holiday, SF,2017,Did not make the Playoffs,0.37799999999999995
5689,Cleveland Cavaliers,1000000.0,Edy Tavares, C,2017,Finals,0.622
5690,Philadelphia 76ers,980431.0,Cory Jefferson, F,2017,Did not make the Playoffs,0.341
5691,Golden State Warriors,980431.0,James Michael McAdoo, SF,2017,Champion,0.8170000000000001
5692,Toronto Raptors,980431.0,Eric Moreland, C,2017,Conf Semifinals,0.622
5693,Los Angeles Clippers,980431.0,Devyn Marble, SF,2017,Conf First Round,0.622
5694,Memphis Grizzlies,980431.0,JaMychal Green, PF,2017,Conf First Round,0.524
5695,Charlotte Hornets,980431.0,Brian Roberts, PG,2017,Did not make the Playoffs,0.439
5696,Oklahoma City Thunder,980431.0,Jerami Grant, SF,2017,Conf First Round,0.573
5697,Utah Jazz,980431.0,Henry Sims, C,2017,Conf Semifinals,0.622
5698,Utah Jazz,980431.0,Nate Wolters, PG,2017,Conf Semifinals,0.622
5699,Sacramento Kings,980431.0,Jordan Farmar, PG,2017,Did not make the Playoffs,0.39
5700,Atlanta Hawks,980431.0,Will Bynum, PG,2017,Conf First Round,0.524
5701,Orlando Magic,950000.0,Stephen Zimmerman, C,2017,Did not make the Playoffs,0.354
5702,Memphis Grizzlies,945000.0,Andrew Harrison, G,2017,Conf First Round,0.524
5703,Utah Jazz,937800.0,Raul Neto, PG,2017,Conf Semifinals,0.622
5704,Milwaukee Bucks,925000.0,Malcolm Brogdon, PG,2017,Conf First Round,0.512
5705,Phoenix Suns,918369.0,Tyler Ulis, G,2017,Did not make the Playoffs,0.293
5706,New Orleans Pelicans,895197.0,Reggie Williams, SF,2017,Did not make the Playoffs,0.415
5707,Milwaukee Bucks,874636.0,Xavier Munford, G,2017,Conf First Round,0.512
5708,Charlotte Hornets,874636.0,Christian Wood, PF,2017,Did not make the Playoffs,0.439
5709,Philadelphia 76ers,874636.0,T.J. McConnell, PG,2017,Did not make the Playoffs,0.341
5710,Cleveland Cavaliers,874636.0,Jordan McRae, SG,2017,Finals,0.622
5711,Toronto Raptors,874636.0,Norman Powell, SF,2017,Conf Semifinals,0.622
5712,Memphis Grizzlies,874636.0,DJ Stephens, SG,2017,Conf First Round,0.524
5713,Memphis Grizzlies,874636.0,D.J. Kennedy, SG,2017,Conf First Round,0.524
5714,Detroit Pistons,874636.0,Darrun Hilliard, G,2017,Did not make the Playoffs,0.451
5715,Phoenix Suns,874636.0,Alan Williams, PF,2017,Did not make the Playoffs,0.293
5716,Portland Trail Blazers,874636.0,Grant Jerrett, PF,2017,Conf First Round,0.5
5717,Sacramento Kings,874636.0,Duje Dukan, PF,2017,Did not make the Playoffs,0.39
5718,New Orleans Pelicans,874636.0,Cliff Alexander, PF,2017,Did not make the Playoffs,0.415
5719,Chicago Bulls,864346.0,R.J. Hunter, G,2017,Conf First Round,0.5
5720,Chicago Bulls,750000.0,Paul Zipser, F,2017,Conf First Round,0.5
5721,Brooklyn Nets,726672.0,Spencer Dinwiddie, PG,2017,Did not make the Playoffs,0.244
5722,Houston Rockets,680534.0,Bobby Brown, PG,2017,Conf Semifinals,0.6709999999999999
5723,Dallas Mavericks,650000.0,AJ Hammons, C,2017,Did not make the Playoffs,0.402
5724,Indiana Pacers,650000.0,Georges Niang, SF,2017,Conf First Round,0.512
5725,Detroit Pistons,650000.0,Michael Gbinije, SG,2017,Did not make the Playoffs,0.451
5726,Portland Trail Blazers,600000.0,Jake Layman, SF,2017,Conf First Round,0.5
5727,Utah Jazz,600000.0,Joel Bolomboy, PF,2017,Conf Semifinals,0.622
5728,New Orleans Pelicans,576724.0,Donatas Motiejunas, PF,2017,Did not make the Playoffs,0.415
5729,Toronto Raptors,543471.0,E.J. Singler, SF,2017,Conf Semifinals,0.622
5730,Toronto Raptors,543471.0,Drew Crawford, SG,2017,Conf Semifinals,0.622
5731,Cleveland Cavaliers,543471.0,Kay Felder, G,2017,Finals,0.622
5732,Toronto Raptors,543471.0,Fred VanVleet, PG,2017,Conf Semifinals,0.622
5733,Toronto Raptors,543471.0,Yanick Moreira, C,2017,Conf Semifinals,0.622
5734,Houston Rockets,543471.0,Kyle Wiltjer, F,2017,Conf Semifinals,0.6709999999999999
5735,Toronto Raptors,543471.0,Kyle Collinsworth, G,2017,Conf Semifinals,0.622
5736,Toronto Raptors,543471.0,Brady Heslip, SG,2017,Conf Semifinals,0.622
5737,Memphis Grizzlies,543471.0,Vince Hunter, SF,2017,Conf First Round,0.524
5738,Charlotte Hornets,543471.0,Andrew Andrews, G,2017,Did not make the Playoffs,0.439
5739,Charlotte Hornets,543471.0,Marcus Paige, G,2017,Did not make the Playoffs,0.439
5740,Charlotte Hornets,543471.0,Rasheed Sulaimon, G,2017,Did not make the Playoffs,0.439
5741,Utah Jazz,543471.0,Isaiah Cousins, G,2017,Conf Semifinals,0.622
5742,New Orleans Pelicans,543471.0,Quincy Ford, SG,2017,Did not make the Playoffs,0.415
5743,Indiana Pacers,543471.0,Nick Zeisloft, SG,2017,Conf First Round,0.512
5744,Dallas Mavericks,543471.0,Nicolas Brussino, SF,2017,Did not make the Playoffs,0.402
5745,Boston Celtics,543471.0,Jonathan Holmes, PF,2017,Conf Finals,0.6459999999999999
5746,Washington Wizards,543471.0,Sheldon Mac, SG,2017,Conf Semifinals,0.598
5747,Dallas Mavericks,469943.0,Jonathan Gibson, G,2017,Did not make the Playoffs,0.402
5748,Memphis Grizzlies,379159.0,Toney Douglas, PG,2017,Conf First Round,0.524
5749,San Antonio Spurs,346034.0,Joel Anthony, PF,2017,Conf Finals,0.7440000000000001
5750,Atlanta Hawks,286785.0,Ryan Kelly, PF,2017,Conf First Round,0.524
5751,Phoenix Suns,276828.0,Ronnie Price, PG,2017,Did not make the Playoffs,0.293
5752,Dallas Mavericks,259526.0,Deron Williams, PG,2017,Did not make the Playoffs,0.402
5753,Houston Rockets,255000.0,Isaiah Taylor, G,2017,Conf Semifinals,0.6709999999999999
5754,Oklahoma City Thunder,247991.0,Norris Cole, PG,2017,Conf First Round,0.573
5755,Los Angeles Lakers,247991.0,Jose Calderon, PG,2017,Did not make the Playoffs,0.317
5756,Atlanta Hawks,246956.0,Lamar Patterson, SG,2017,Conf First Round,0.524
5757,Dallas Mavericks,242224.0,Andrew Bogut, C,2017,Did not make the Playoffs,0.402
5758,Sacramento Kings,242224.0,Matt Barnes, SF,2017,Did not make the Playoffs,0.39
5759,Miami Heat,210995.0,Okaro White, F,2017,Did not make the Playoffs,0.5
5760,Brooklyn Nets,207798.0,Yogi Ferrell, PG,2017,Did not make the Playoffs,0.244
5761,Cleveland Cavaliers,207722.0,Larry Sanders, PF,2017,Finals,0.622
5762,New Orleans Pelicans,173099.0,Jordan Crawford, G,2017,Did not make the Playoffs,0.415
5763,Charlotte Hornets,161483.0,Johnny O'Bryant III, PF,2017,Did not make the Playoffs,0.439
5764,Philadelphia 76ers,143860.0,Chasson Randle, PG,2017,Did not make the Playoffs,0.341
5765,Sacramento Kings,138414.0,Omri Casspi, SF,2017,Did not make the Playoffs,0.39
5766,Charlotte Hornets,128623.0,Briante Weber, G,2017,Did not make the Playoffs,0.439
5767,Charlotte Hornets,121112.0,Ray McCallum, PG,2017,Did not make the Playoffs,0.439
5768,Philadelphia 76ers,115344.0,Hollis Thompson, SF,2017,Did not make the Playoffs,0.341
5769,Miami Heat,115344.0,Derrick Williams, PF,2017,Did not make the Playoffs,0.5
5770,Dallas Mavericks,115344.0,Manny Harris, PG,2017,Did not make the Playoffs,0.402
5771,Philadelphia 76ers,89513.0,Shawn Long, F,2017,Did not make the Playoffs,0.341
